shipment_batch_id,shipment_date,shipment_due_date,production_year,target_retail_year,customer,destination,label_code,season,gender,fabric,garment_type,color,garment_units,label_qty,fabric_yards,zipper_button_qty,label_weight_kg,fabric_weight_kg,zipper_button_weight_kg,total_weight_kg,box_count,weight_basis,scenario_tag
SHP-202301-01,2023-01-08,2023-01-08,2023,2024,Mode Basic Partners,부산항,W2WPL07BE,여름,여성,린넨,바지,베이지,32343,32343,51748.8,32343,32.343,15524.6,161.715,32.343,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202301-02,2023-01-18,2023-01-18,2023,2024,North Peak Apparel,인천항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,32046,32046,38455.2,32046,32.046,11536.6,160.23,32.046,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202301-03,2023-01-27,2023-01-27,2023,2024,Urban Trail Korea,부산항,W2WTL06WH,여름,여성,린넨,티셔츠,화이트,30857,30857,37028.4,30857,30.857,11108.5,154.285,30.857,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202302-01,2023-02-07,2023-02-07,2023,2024,Daily Cotton Studio,부산항,W2WPM10GY,여름,여성,혼방,바지,그레이,36769,36769,58830.4,36769,36.769,17649.1,183.845,36.769,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202302-02,2023-02-15,2023-02-15,2023,2024,River Outdoor Co.,인천항,W3MJW01NV,가을,남성,울,재킷,네이비,30813,30813,64707.3,61626,30.813,19412.2,308.13,30.813,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202302-03,2023-02-23,2023-02-23,2023,2024,Mode Basic Partners,부산항,W4WDP11BK,겨울,여성,폴리에스터,다운,블랙,34301,34301,82322.4,34301,34.301,24696.7,171.505,34.301,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202302-04,2023-02-28,2023-02-28,2023,2024,North Peak Apparel,인천항,W2MTC08RD,여름,남성,면,티셔츠,레드,33523,33523,40227.6,33523,33.523,12068.3,167.615,33.523,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202303-01,2023-03-08,2023-03-08,2023,2024,Urban Trail Korea,인천항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,33296,33296,39955.2,33296,33.296,11986.6,166.48,33.296,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202303-02,2023-03-18,2023-03-18,2023,2024,Daily Cotton Studio,부산항,W2WTL06WH,여름,여성,린넨,티셔츠,화이트,30976,30976,37171.2,30976,30.976,11151.4,154.88,30.976,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202303-03,2023-03-27,2023-03-27,2023,2024,River Outdoor Co.,인천항,W2MPL09NV,여름,남성,린넨,바지,네이비,34356,34356,54969.6,34356,34.356,16490.9,171.78,34.356,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202304-01,2023-04-08,2023-04-08,2023,2024,Mode Basic Partners,인천항,W3MJW01NV,가을,남성,울,재킷,네이비,33338,33338,70009.8,66676,33.338,21002.9,333.38,33.338,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202304-02,2023-04-18,2023-04-18,2023,2024,North Peak Apparel,부산항,W4WDP11BK,겨울,여성,폴리에스터,다운,블랙,40067,40067,96160.8,40067,40.067,28848.2,200.335,40.067,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202304-03,2023-04-27,2023-04-27,2023,2024,Urban Trail Korea,인천항,W2MTC08RD,여름,남성,면,티셔츠,레드,36432,36432,43718.4,36432,36.432,13115.5,182.16,36.432,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202305-01,2023-05-07,2023-05-07,2023,2024,Daily Cotton Studio,인천항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,46048,46048,55257.6,46048,46.048,16577.3,230.24,46.048,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202305-02,2023-05-15,2023-05-15,2023,2024,River Outdoor Co.,부산항,W2WTL06WH,여름,여성,린넨,티셔츠,화이트,43815,43815,52578.0,43815,43.815,15773.4,219.075,43.815,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202305-03,2023-05-23,2023-05-23,2023,2024,Mode Basic Partners,인천항,W2MPL09NV,여름,남성,린넨,바지,네이비,36852,36852,58963.2,36852,36.852,17689.0,184.26,36.852,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202305-04,2023-05-28,2023-05-28,2023,2024,North Peak Apparel,부산항,W2WPM10GY,여름,여성,혼방,바지,그레이,47843,47843,76548.8,47843,47.843,22964.6,239.215,47.843,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202306-01,2023-06-08,2023-06-08,2023,2024,Urban Trail Korea,부산항,W4WDP11BK,겨울,여성,폴리에스터,다운,블랙,38200,38200,91680.0,38200,38.2,27504.0,191.0,38.2,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202306-02,2023-06-18,2023-06-18,2023,2024,Daily Cotton Studio,인천항,W2MTC08RD,여름,남성,면,티셔츠,레드,45776,45776,54931.2,45776,45.776,16479.4,228.88,45.776,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202306-03,2023-06-27,2023-06-27,2023,2024,River Outdoor Co.,부산항,W2WPL07BE,여름,여성,린넨,바지,베이지,44309,44309,70894.4,44309,44.309,21268.3,221.545,44.309,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202307-01,2023-07-08,2023-07-08,2023,2024,Mode Basic Partners,부산항,W2WTL06WH,여름,여성,린넨,티셔츠,화이트,44065,44065,52878.0,44065,44.065,15863.4,220.325,44.065,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202307-02,2023-07-18,2023-07-18,2023,2024,North Peak Apparel,인천항,W2MPL09NV,여름,남성,린넨,바지,네이비,40372,40372,64595.2,40372,40.372,19378.6,201.86,40.372,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202307-03,2023-07-27,2023-07-27,2023,2024,Urban Trail Korea,부산항,W2WPM10GY,여름,여성,혼방,바지,그레이,40322,40322,64515.2,40322,40.322,19354.6,201.61,40.322,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202308-01,2023-08-07,2023-08-07,2023,2024,Daily Cotton Studio,부산항,W4WDP11BK,겨울,여성,폴리에스터,다운,블랙,40618,40618,97483.2,40618,40.618,29245.0,203.09,40.618,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202308-02,2023-08-15,2023-08-15,2023,2024,River Outdoor Co.,인천항,W2MTC08RD,여름,남성,면,티셔츠,레드,36274,36274,43528.8,36274,36.274,13058.6,181.37,36.274,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202308-03,2023-08-23,2023-08-23,2023,2024,Mode Basic Partners,부산항,W2WPL07BE,여름,여성,린넨,바지,베이지,40444,40444,64710.4,40444,40.444,19413.1,202.22,40.444,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202308-04,2023-08-28,2023-08-28,2023,2024,North Peak Apparel,인천항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,33339,33339,40006.8,33339,33.339,12002.0,166.695,33.339,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202309-01,2023-09-08,2023-09-08,2023,2024,Urban Trail Korea,인천항,W2MPL09NV,여름,남성,린넨,바지,네이비,33727,33727,53963.2,33727,33.727,16189.0,168.635,33.727,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202309-02,2023-09-18,2023-09-18,2023,2024,Daily Cotton Studio,부산항,W2WPM10GY,여름,여성,혼방,바지,그레이,34189,34189,54702.4,34189,34.189,16410.7,170.945,34.189,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202309-03,2023-09-27,2023-09-27,2023,2024,River Outdoor Co.,인천항,W3MJW01NV,가을,남성,울,재킷,네이비,40877,40877,85841.7,81754,40.877,25752.5,408.77,40.877,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202310-01,2023-10-08,2023-10-08,2023,2024,Mode Basic Partners,인천항,W2MTC08RD,여름,남성,면,티셔츠,레드,38225,38225,45870.0,38225,38.225,13761.0,191.125,38.225,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202310-02,2023-10-18,2023-10-18,2023,2024,North Peak Apparel,부산항,W2WPL07BE,여름,여성,린넨,바지,베이지,40571,40571,64913.6,40571,40.571,19474.1,202.855,40.571,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202310-03,2023-10-27,2023-10-27,2023,2024,Urban Trail Korea,인천항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,37921,37921,45505.2,37921,37.921,13651.6,189.605,37.921,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202311-01,2023-11-07,2023-11-07,2023,2024,Daily Cotton Studio,인천항,W2MPL09NV,여름,남성,린넨,바지,네이비,42633,42633,68212.8,42633,42.633,20463.8,213.165,42.633,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202311-02,2023-11-15,2023-11-15,2023,2024,River Outdoor Co.,부산항,W2WPM10GY,여름,여성,혼방,바지,그레이,36005,36005,57608.0,36005,36.005,17282.4,180.025,36.005,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202311-03,2023-11-23,2023-11-23,2023,2024,Mode Basic Partners,인천항,W3MJW01NV,가을,남성,울,재킷,네이비,40328,40328,84688.8,80656,40.328,25406.6,403.28,40.328,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202311-04,2023-11-28,2023-11-28,2023,2024,North Peak Apparel,부산항,W4WDP11BK,겨울,여성,폴리에스터,다운,블랙,43514,43514,104433.6,43514,43.514,31330.1,217.57,43.514,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202312-01,2023-12-08,2023-12-08,2023,2024,Urban Trail Korea,부산항,W2WPL07BE,여름,여성,린넨,바지,베이지,36519,36519,58430.4,36519,36.519,17529.1,182.595,36.519,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202312-02,2023-12-18,2023-12-18,2023,2024,Daily Cotton Studio,인천항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,40567,40567,48680.4,40567,40.567,14604.1,202.835,40.567,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202312-03,2023-12-27,2023-12-27,2023,2024,River Outdoor Co.,부산항,W2WTL06WH,여름,여성,린넨,티셔츠,화이트,38471,38471,46165.2,38471,38.471,13849.6,192.355,38.471,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202401-01,2024-01-08,2024-01-08,2024,2025,North Peak Apparel,부산항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,30721,30721,36865.2,30721,30.721,11059.6,153.605,30.721,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202401-02,2024-01-18,2024-01-18,2024,2025,Urban Trail Korea,인천항,W2WTL06WH,여름,여성,린넨,티셔츠,화이트,36547,36547,43856.4,36547,36.547,13156.9,182.735,36.547,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202401-03,2024-01-27,2024-01-27,2024,2025,Daily Cotton Studio,부산항,W2MPL09NV,여름,남성,린넨,바지,네이비,29048,29048,46476.8,29048,29.048,13943.0,145.24,29.048,3,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202402-01,2024-02-07,2024-02-07,2024,2025,River Outdoor Co.,부산항,W3MJW01NV,가을,남성,울,재킷,네이비,33478,33478,70303.8,66956,33.478,21091.1,334.78,33.478,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202402-02,2024-02-15,2024-02-15,2024,2025,Mode Basic Partners,인천항,W4WDP11BK,겨울,여성,폴리에스터,다운,블랙,32558,32558,78139.2,32558,32.558,23441.8,162.79,32.558,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202402-03,2024-02-23,2024-02-23,2024,2025,North Peak Apparel,부산항,W2MTC08RD,여름,남성,면,티셔츠,레드,28783,28783,34539.6,28783,28.783,10361.9,143.915,28.783,3,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202402-04,2024-02-28,2024-02-28,2024,2025,Urban Trail Korea,인천항,W2WPL07BE,여름,여성,린넨,바지,베이지,32185,32185,51496.0,32185,32.185,15448.8,160.925,32.185,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202403-01,2024-03-08,2024-03-08,2024,2025,Daily Cotton Studio,인천항,W2WTL06WH,여름,여성,린넨,티셔츠,화이트,40820,40820,48984.0,40820,40.82,14695.2,204.1,40.82,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202403-02,2024-03-18,2024-03-18,2024,2025,River Outdoor Co.,부산항,W2MPL09NV,여름,남성,린넨,바지,네이비,35319,35319,56510.4,35319,35.319,16953.1,176.595,35.319,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202403-03,2024-03-27,2024-03-27,2024,2025,Mode Basic Partners,인천항,W2WPM10GY,여름,여성,혼방,바지,그레이,39392,39392,63027.2,39392,39.392,18908.2,196.96,39.392,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202404-01,2024-04-08,2024-04-08,2024,2025,North Peak Apparel,인천항,W4WDP11BK,겨울,여성,폴리에스터,다운,블랙,40231,40231,96554.4,40231,40.231,28966.3,201.155,40.231,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202404-02,2024-04-18,2024-04-18,2024,2025,Urban Trail Korea,부산항,W2MTC08RD,여름,남성,면,티셔츠,레드,33985,33985,40782.0,33985,33.985,12234.6,169.925,33.985,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202404-03,2024-04-27,2024-04-27,2024,2025,Daily Cotton Studio,인천항,W2WPL07BE,여름,여성,린넨,바지,베이지,34576,34576,55321.6,34576,34.576,16596.5,172.88,34.576,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202405-01,2024-05-07,2024-05-07,2024,2025,River Outdoor Co.,인천항,W2WTL06WH,여름,여성,린넨,티셔츠,화이트,36319,36319,43582.8,36319,36.319,13074.8,181.595,36.319,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202405-02,2024-05-15,2024-05-15,2024,2025,Mode Basic Partners,부산항,W2MPL09NV,여름,남성,린넨,바지,네이비,41695,41695,66712.0,41695,41.695,20013.6,208.475,41.695,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202405-03,2024-05-23,2024-05-23,2024,2025,North Peak Apparel,인천항,W2WPM10GY,여름,여성,혼방,바지,그레이,38688,38688,61900.8,38688,38.688,18570.2,193.44,38.688,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202405-04,2024-05-28,2024-05-28,2024,2025,Urban Trail Korea,부산항,W3MJW01NV,가을,남성,울,재킷,네이비,37011,37011,77723.1,74022,37.011,23316.9,370.11,37.011,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202406-01,2024-06-08,2024-06-08,2024,2025,Daily Cotton Studio,부산항,W2MTC08RD,여름,남성,면,티셔츠,레드,38917,38917,46700.4,38917,38.917,14010.1,194.585,38.917,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202406-02,2024-06-18,2024-06-18,2024,2025,River Outdoor Co.,인천항,W2WPL07BE,여름,여성,린넨,바지,베이지,41760,41760,66816.0,41760,41.76,20044.8,208.8,41.76,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202406-03,2024-06-27,2024-06-27,2024,2025,Mode Basic Partners,부산항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,47250,47250,56700.0,47250,47.25,17010.0,236.25,47.25,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202407-01,2024-07-08,2024-07-08,2024,2025,North Peak Apparel,부산항,W2MPL09NV,여름,남성,린넨,바지,네이비,44339,44339,70942.4,44339,44.339,21282.7,221.695,44.339,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202407-02,2024-07-18,2024-07-18,2024,2025,Urban Trail Korea,인천항,W2WPM10GY,여름,여성,혼방,바지,그레이,39606,39606,63369.6,39606,39.606,19010.9,198.03,39.606,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202407-03,2024-07-27,2024-07-27,2024,2025,Daily Cotton Studio,부산항,W3MJW01NV,가을,남성,울,재킷,네이비,41746,41746,87666.6,83492,41.746,26300.0,417.46,41.746,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202408-01,2024-08-07,2024-08-07,2024,2025,River Outdoor Co.,부산항,W2MTC08RD,여름,남성,면,티셔츠,레드,32515,32515,39018.0,32515,32.515,11705.4,162.575,32.515,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202408-02,2024-08-15,2024-08-15,2024,2025,Mode Basic Partners,인천항,W2WPL07BE,여름,여성,린넨,바지,베이지,30958,30958,49532.8,30958,30.958,14859.8,154.79,30.958,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202408-03,2024-08-23,2024-08-23,2024,2025,North Peak Apparel,부산항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,34634,34634,41560.8,34634,34.634,12468.2,173.17,34.634,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202408-04,2024-08-28,2024-08-28,2024,2025,Urban Trail Korea,인천항,W2WTL06WH,여름,여성,린넨,티셔츠,화이트,37234,37234,44680.8,37234,37.234,13404.2,186.17,37.234,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202409-01,2024-09-08,2024-09-08,2024,2025,Daily Cotton Studio,인천항,W2WPM10GY,여름,여성,혼방,바지,그레이,35779,35779,57246.4,35779,35.779,17173.9,178.895,35.779,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202409-02,2024-09-18,2024-09-18,2024,2025,River Outdoor Co.,부산항,W3MJW01NV,가을,남성,울,재킷,네이비,33968,33968,71332.8,67936,33.968,21399.8,339.68,33.968,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202409-03,2024-09-27,2024-09-27,2024,2025,Mode Basic Partners,인천항,W4WDP11BK,겨울,여성,폴리에스터,다운,블랙,34666,34666,83198.4,34666,34.666,24959.5,173.33,34.666,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202410-01,2024-10-08,2024-10-08,2024,2025,North Peak Apparel,인천항,W2WPL07BE,여름,여성,린넨,바지,베이지,45568,45568,72908.8,45568,45.568,21872.6,227.84,45.568,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202410-02,2024-10-18,2024-10-18,2024,2025,Urban Trail Korea,부산항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,42614,42614,51136.8,42614,42.614,15341.0,213.07,42.614,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202410-03,2024-10-27,2024-10-27,2024,2025,Daily Cotton Studio,인천항,W2WTL06WH,여름,여성,린넨,티셔츠,화이트,40772,40772,48926.4,40772,40.772,14677.9,203.86,40.772,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202411-01,2024-11-07,2024-11-07,2024,2025,River Outdoor Co.,인천항,W2WPM10GY,여름,여성,혼방,바지,그레이,43352,43352,69363.2,43352,43.352,20809.0,216.76,43.352,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202411-02,2024-11-15,2024-11-15,2024,2025,Mode Basic Partners,부산항,W3MJW01NV,가을,남성,울,재킷,네이비,42731,42731,89735.1,85462,42.731,26920.5,427.31,42.731,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202411-03,2024-11-23,2024-11-23,2024,2025,North Peak Apparel,인천항,W4WDP11BK,겨울,여성,폴리에스터,다운,블랙,39439,39439,94653.6,39439,39.439,28396.1,197.195,39.439,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202411-04,2024-11-28,2024-11-28,2024,2025,Urban Trail Korea,부산항,W2MTC08RD,여름,남성,면,티셔츠,레드,35593,35593,42711.6,35593,35.593,12813.5,177.965,35.593,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202412-01,2024-12-08,2024-12-08,2024,2025,Daily Cotton Studio,부산항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,43338,43338,52005.6,43338,43.338,15601.7,216.69,43.338,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202412-02,2024-12-18,2024-12-18,2024,2025,River Outdoor Co.,인천항,W2WTL06WH,여름,여성,린넨,티셔츠,화이트,38161,38161,45793.2,38161,38.161,13738.0,190.805,38.161,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202412-03,2024-12-27,2024-12-27,2024,2025,Mode Basic Partners,부산항,W2MPL09NV,여름,남성,린넨,바지,네이비,37944,37944,60710.4,37944,37.944,18213.1,189.72,37.944,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202501-01,2025-01-08,2025-01-08,2025,2026,Urban Trail Korea,부산항,W2WTL06WH,여름,여성,린넨,티셔츠,화이트,27235,27235,32682.0,27235,27.235,9804.6,136.175,27.235,3,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,supply_crack
SHP-202501-02,2025-01-18,2025-01-18,2025,2026,Daily Cotton Studio,인천항,W2MPL09NV,여름,남성,린넨,바지,네이비,35903,35903,57444.8,35903,35.903,17233.4,179.515,35.903,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,supply_crack
